Ranking;Nombre;Ventas;CNAE_Original;SECTOR_NOMBRE;NIF;ventas_estimado;patentes;confianza;criterio;ano_constitucion;poblacion;numero_empleados;web_oficial;actividad_resumen;tamano_ing;complejidad_txt;cto_actual;propiedad_accionistas;private_equity_firmas;financiacion_publica_detalle;usa_inteligencia_artificial;plataforma_cloud;solvencia_txt;puntos_solv;perfil_txt;veredicto_final;conclusion_sueldo_80k;justificacion_viabilidad;score_viabilidad;provincia
993;INMOBILIARIA ORIO TXOKO TXIKI SL;grande;4110;Promoción inmobiliaria;B20644423;50000000;0;0.0;Sin match;1999;Zarautz;14 (eInforma);www.inmobiliariaorio.com;Promoción inmobiliaria, construcción y posterior venta de viviendas y locales comerciales.;0-1 técnicos;Web corporativa estándar para la promoción de inmuebles. Sin desarrollo de software propio ni complejidad técnica.;No identificado públicamente;Presidencia/Consejo de Administración familiar (familia Ayestaran);Ninguno;Sin datos;NO. Es una promotora inmobiliaria tradicional sin evidencia de aplicar IA en sus procesos.;Sin datos;Empresa consolidada con más de 20 años de actividad en el sector inmobiliario.;Alto;No aplica (empresa no tecnológica);DESCARTAR;POSIBLE;🟡 POSIBLE (38/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8);38.0;guipúzcoa
994;TUNELAN OBRAS SUBTERRANEAS SOCIEDAD LIMITADA.;grande;4299;Construcción de otros proyectos de ingeniería civil n.c.o.p.;B95773412;50000000;0;0.0;Sin match;2014;Azpeitia;29 (eInforma);www.tunelan.com;Construcción de túneles y todo tipo de obras subterráneas para infraestructuras.;~15-20 técnicos;Empresa de ingeniería civil altamente especializada en la ejecución de obras subterráneas complejas.;No identificado públicamente;La empresa forma parte del grupo constructor Altuna y Uria, S.A.;Ninguno;Sin datos;NO. Su sector es la construcción de infraestructuras, sin evidencia de aplicación de IA en sus proyectos o gestión.;No identificado;Filial de un grupo constructor consolidado (Altuna y Uria) y adjudicataria de grandes proyectos de obra pública, lo que indica una fuerte capacidad financiera.;Máximo;Híbrido Hardware/Soft;TIBURÓN;POSIBLE;🟡 POSIBLE (49/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 29 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7);49.0;guipúzcoa
996;COMETEL SA;grande;2822;Fabricación de maquinaria de elevación y manipulación;A20166062;50000000;8;1.0;Exacto (Normalizado);1987;Elgoibar;35 (Spri.eus);www.cometel.net;Diseño y fabricación de soluciones llave en mano para transporte y tratamiento de residuos metálicos.;~5-10 técnicos;Hardware/Mecánica con enfoque en automatización industrial (Industria 4.0) y proyectos de ingeniería a medida.;No identificado públicamente;Empresa familiar. Sandra Montes es la Directora General.;Ninguno;ICEX-Next, Fondos FEDER y programa Hazinnova del Grupo SPRI.;NO (Mencionan planes de integración de IA en los datos de la empresa a futuro);Sin datos;Facturación de ~6M€ y plantilla de 35 personas. Empresa consolidada con más de 30 años de experiencia y fuerte vocación exportadora, superando el 70% del negocio.;Alto;Híbrido Hardware/Automatización;PYME;POSIBLE;🟡 POSIBLE (49/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 35 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7);49.0;guipúzcoa
997;PASAIPLAS TECNOLOGICO SL;grande;2222;Fabricación de envases y embalajes de plástico;B20861134;50000000;0;0.0;Sin match;2005;Oiartzun;~15 (Web Oficial);www.pasaiplas.com;Fabricante de soluciones sostenibles en bolsas y embalaje de plástico para diversos sectores industriales.;Estimación ~2-4 técnicos;Empresa industrial centrada en la fabricación y ciencia de materiales (plásticos reciclados, compostables, VCI), no en software.;No identificado públicamente;Administradores: Ibai Zabalecu Loperena y Oihana Zabalecu Loperena. Probablemente familiar.;Ninguno;SPRI/Ministerio/Diputación Foral de Gipuzkoa;NO. No hay evidencia pública del uso de IA en sus productos o procesos de fabricación.;ON-PREMISE;Facturación reportada entre 3M€ y 6M€. Adjudicataria de contratos y subvenciones públicas, indicando estabilidad financiera.;Alto;Industrial / Fabricación;PYME;POSIBLE;🟡 POSIBLE (43/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ⚠️ Sector industrial (+5);43.0;guipúzcoa
999;SISTEMAS ESSELLE S.L.U.;grande;2219;Fabricación de otros productos de caucho;B20533618;50000000;0;0.0;Sin match;1995;Azkoitia;~21 (einforma);www.sistemasesselle.com;Fabricación y comercio de artículos y juntas de caucho para conducciones de agua e industria.;Estimación baja (ej: 1-3 técnicos de procesos/producto);Empresa industrial tradicional. Procesos de fabricación de caucho (inyección y extrusión). Baja complejidad de software.;No identificado públicamente;Espiga Capital (mayoritaria) y familia fundadora.;Espiga Capital;Sin datos;NO. No hay indicios de uso de IA en sus procesos o productos según la información pública disponible.;ON-PREMISE;Adquisición por parte de la firma de capital riesgo Espiga Capital en 2024. Facturación del grupo >14M€ en 2023.;Máximo;Perfil industrial y de fabricación. No es una empresa de base tecnológica de software.;DESCARTAR;POSIBLE;🟡 POSIBLE (37/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 21 empleados (+4) | ✅ CTO identificado (+8) | ✅ Con PE/VC (+5) | ❌ Sector bajo salario (-10);37.0;guipúzcoa
1;ORZA GESTION Y TENENCIA DE PATRIMONIOS AIE;grande;7490;Otras actividades profesionales, científicas y técnicas n.c.o.p.;V20780235;50000000;0;0.0;Sin match;2002;Donostia-San Sebastián;~5-10 (Estimado);www.orza.info;Entidad de inversión directa de los fondos de pensiones GEROA y ELKARKIDETZA.;0-2 técnicos (gestión interna);No es una empresa tecnológica. Gestiona un portfolio de empresas participadas con alta complejidad técnica.;No identificado públicamente;Fondos de pensiones ELKARKIDETZA y GEROA.;Propiedad de Fondos de Pensiones (actúa como inversor de capital).;Sin datos directos (Coinvierte con entidades públicas como CDTI en sus participadas).;NO (Invierte en empresas que sí la utilizan, como Alerion Technologies y Naru Intelligence).;No identificado (Probablemente Híbrida/On-premise para gestión interna).;Respaldada por dos de los mayores fondos de pensiones del País Vasco (GEROA y ELKARKIDETZA), gestionando un alto volumen de inversión.;Máximo;Financiero / Inversión;TIBURÓN;VIABLE;🟢 VIABLE (51/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ⚠️ Cloud híbrido (+3) | ✅ Con PE/VC (+5) | ✅ I+D público (+5);51.0;guipúzcoa
1,002;TRATAMIENTOS TERMICOS YURRE SL;grande;2561;Tratamiento y revestimiento de metales;B20046488;50000000;0;0.0;Sin match;1975;Idiazabal;30 (eInforma 2025);www.tratamientos-yurre.es;Tratamiento térmico y revestimiento de metales, incluyendo aleaciones férreas y no férreas.;~2-4 técnicos;Empresa industrial tradicional. Su web es corporativa y no muestra complejidad técnica (software, IA, etc.).;No identificado públicamente;Sin datos públicos disponibles sobre la estructura accionarial.;Ninguno;Sin datos específicos de adjudicaciones. Potencial acceso a programas como Hazitek/SPRI por su ubicación.;NO. La IA se explora a nivel sectorial en el País Vasco, pero no hay evidencia de su uso directo por parte de la empresa.;ON-PREMISE;Facturación estimada entre 3 y 6 millones de euros. Se registró un auto de declaración de concurso de acreedores voluntario en 2022.;Bajo;Hardware (Industrial);DESCARTAR;POSIBLE;🟡 POSIBLE (47/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 30 empleados (+4) | ✅ CTO identificado (+8) | ✅ I+D público (+5);47.0;guipúzcoa
1,004;ACCESORIOS ELASTICOS LESOL SL.;grande;2219;Fabricación de otros productos de caucho;B75229112;50000000;0;0.0;Sin match;2019;Hernani;25 (empresite);www.lesol.es;Fabricación y comercialización de sistemas para el control de vibraciones, choques y ruidos.;~3-5 ingenieros (Estimación);Hardware (sistemas antivibratorios). Software de simulación/cálculo para selección de producto.;No identificado públicamente;Sin datos públicos, probablemente privada/familiar.;Ninguno;ICEX Next y fondos FEDER para desarrollo internacional.;NO. Su tecnología se centra en la ingeniería mecánica y de materiales para la amortiguación.;Sin datos;Facturación entre 3-6M€. Empresa exportadora consolidada con presencia en 35 países.;Alto;Ingeniería Mecánica / Industrial (Hardware);PYME;POSIBLE;🟡 POSIBLE (46/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 25 empleados (+4) | ✅ CTO identificado (+8) | ⚠️ Equipo IT medio (+4);46.0;guipúzcoa
1,005;BORDA ARDOAK SL;grande;4725;Comercio al por menor de bebidas en establecimientos especializados;B75238618;50000000;0;0.0;Sin match;2020;Zarautz;7 (eInforma/Empresite);www.bordaardoak.eus;Comercio al por menor y distribución de vinos, cervezas y otras bebidas.;0-1 técnicos (Estimación);Baja. Web corporativa con e-commerce estándar para la venta y distribución de bebidas.;No identificado públicamente;Empresa familiar, gestionada por los hermanos Enara, Ibai y Arkaitz Ordiozola Larrarte.;Ninguno;Sin datos;NO. No hay evidencia del uso de IA en sus operaciones o productos.;Sin datos;Facturación declarada entre 3 y 6 millones de euros. Empresa familiar consolidada.;Alto;No es una empresa de perfil técnico. Su negocio es la distribución y el comercio.;DESCARTAR;DUDOSO;🟡 DUDOSO (28/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ❌ Sector bajo salario (-10);28.0;guipúzcoa
1,007;TXIMELA SA;grande;7732;Alquiler de maquinaria y equipo para la construcción e ingeniería civil;A20138111;50000000;0;0.0;Sin match;1980;Astigarraga;26 (eInforma);www.tximela.com;Alquiler y venta de maquinaria para construcción, industria y eventos.;~5-10 técnicos;Gestión de flota y mantenimiento (Hardware). Posible uso de software de gestión de alquileres.;No identificado públicamente;TXIMELA ENPRESA TALDEA, S.L.;Ninguno;Sin datos;NO;ON-PREMISE;Empresa consolidada con más de 35 años de experiencia y un parque de más de 800 máquinas.;Alto;Técnicos de mantenimiento de maquinaria (Mecánica, electricidad, hidráulica).;PYME;POSIBLE;🟡 POSIBLE (49/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 26 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7);49.0;guipúzcoa
1,01;TORNILLERIA ORUESAGASTI SA;grande;2594;Fabricación de pernos y productos de tornillería;A20094041;50000000;0;0.0;Sin match;1985;Soraluze-Placencia de las Armas;22 (eInforma);www.oruesagasti.com;Fabricación de tornillería y elementos de fijación especiales por estampación en caliente.;~2-5 técnicos;Empresa industrial tradicional. Su web es corporativa, sin indicios de complejidad a nivel de software, IA o IoT.;No identificado públicamente;Sin datos;Ninguno;Sin datos;NO. No se han encontrado evidencias del uso de inteligencia artificial en sus productos o procesos.;ON-PREMISE;Empresa consolidada en su sector con actividad exportadora. Facturación reportada entre 3 y 6 millones de euros.;Alto;Hardware;PYME;POSIBLE;🟡 POSIBLE (46/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 22 empleados (+4) | ✅ CTO identificado (+8) | ⚠️ Equipo IT medio (+4);46.0;guipúzcoa
1,012;CALDERERIA IRURENA SA;grande;2511;Fabricación de estructuras metálicas y sus componentes;A20035549;50000000;0;0.0;Sin match;1971;Beasain;18 (einforma);www.caldereriairurena.com;Fabricación de calderería media y pesada para los sectores de elevación, energía y cementero.;~2-4 técnicos (Estimación);Ingeniería industrial y mecánica. Uso de software de diseño y cálculo (CAD/CAM) estándar del sector.;No identificado públicamente;GRUPO WISCO, S.L. (La empresa es una Sociedad Anónima Unipersonal).;Ninguno;Ha recibido subvenciones de Lanbide (Servicio Vasco de Empleo).;NO. Su actividad se centra en la fabricación metalúrgica tradicional sin evidencia de aplicación de IA.;ON-PREMISE;Facturación reportada entre 3 y 6 millones de euros. Propiedad de un grupo empresarial (Grupo Wisco).;Alto;Hardware (Ingeniería Mecánica / Industrial);DESCARTAR;POSIBLE;🟡 POSIBLE (43/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ⚠️ Sector industrial (+5);43.0;guipúzcoa
1,013;MICROELECTRONICA MASER SL;grande;7490;Otras actividades profesionales, científicas y técnicas n.c.o.p.;B20695821;50000000;8;1.0;Exacto (Normalizado);2000;Mendaro;30 (eInforma);www.masermic.com;Diseño y fabricación de sistemas electrónicos (hardware y software) para automoción, energía y medioambiente.;~15-20 técnicos;Sistemas embebidos (HW/SW), IoT (gestión de agua/residuos) e IA con visión artificial para ADAS.;No identificado públicamente;Privada (GESTION IRIONDO SL figura como Presidente);Ninguno;CDTI, Hazitek, SPRI;SÍ, en proyectos de I+D para vehículos (ADAS), desarrollando algoritmos de IA para asistencia a la conducción basados en visión por computador.;Sin datos;Facturación entre 3-6M€, empresa consolidada con más de 20 años y receptora de múltiples ayudas públicas a la I+D.;Alto;Híbrido Hardware/Software, con foco en sistemas embebidos, electrónica de potencia y software de control.;PYME;MUY VIABLE;🟢 MUY VIABLE (72/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 30 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8) | ✅ I+D público (+5) | ✅ Sector tech premium (+10);72.0;guipúzcoa
1,015;ALUMIAL SL;grande;4674;Comercio al por mayor de ferretería, fontanería y calefacción;B20374807;50000000;2;1.0;Exacto (Normalizado);1991;Idiazabal;11-25 (Iberinform);www.alumial.com;Almacén y fabricante de perfiles de aluminio y PVC para carpintería, construcción e industria.;~1-2 técnicos;Producto físico tradicional (perfilería de aluminio y PVC). Sin desarrollo de software propio aparente.;No identificado públicamente;Administradores Solidarios: Aleman Saracibar Felix Jose, Aleman Dominguez Iker.;Ninguno;Sin datos;NO. La web y actividad no muestran indicios del uso de IA en sus productos o procesos.;No identificado públicamente;Facturación declarada entre 3 y 6 millones de euros. Empresa consolidada en su sector.;Bajo;Industrial / Mecánico;DESCARTAR;POSIBLE;🟡 POSIBLE (38/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8);38.0;guipúzcoa
1,016;INSTANT SPORT SL;grande;7112;Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico;B20882320;50000000;8;1.0;Exacto (Normalizado);2005;Donostia/San Sebastián;40 (eInforma 2025);www.wavegarden.com;Servicios técnicos de ingeniería para el diseño y desarrollo de instalaciones deportivas (olas artificiales).;~20-25 técnicos;Producto complejo que integra ingeniería civil, hidrodinámica, mecánica y software de control para la generación de olas artificiales para el surf.;No identificado públicamente;Administrador único: KUNSTWELLEN SL.;Ninguno;Hazitek (Gobierno Vasco, 2023);NO. Aunque su objeto social lo menciona, no hay evidencia pública de su aplicación en su producto o servicios principales.;HÍBRIDA;Facturación desconocida pero clasificada como PYME. Ha recibido financiación pública (Hazitek) para proyectos de I+D, indicando solvencia técnica y validación institucional.;Alto;Híbrido Hardware/Software (Ingeniería mecánica, civil, hidrodinámica y software de control).;TIBURÓN;VIABLE;🟢 VIABLE (62/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 40 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ I+D público (+5) | ⚠️ Sector industrial (+5);62.0;guipúzcoa
1,017;COTONES AGUIRREZABAL SA;grande;1320;Fabricación de tejidos textiles;A20040044;50000000;0;0.0;Sin match;1973;Bergara;~12 (Empresite);www.cotonesaguirrezabal.es;Fabricación y comercialización de productos textiles y celulosas para la limpieza e higiene industrial.;~0-2 técnicos;Empresa de fabricación tradicional. La complejidad técnica parece baja, centrada en la producción industrial de textiles y no en el desarrollo de software, IA o tecnología avanzada.;No identificado públicamente;Empresa familiar. Los administradores mancomunados son miembros de la familia Aguirrezabal.;Ninguno;Ha recibido financiación del Gobierno Vasco.;NO. No hay indicios de uso de inteligencia artificial en sus procesos o productos.;No identificado públicamente. Probablemente ON-PREMISE o HÍBRIDA para gestión empresarial básica.;Empresa consolidada con ventas reportadas entre 3 y 6 millones de euros.;Alto;Industrial. Enfocada en la producción y logística, no en perfiles tecnológicos avanzados.;DESCARTAR;POSIBLE;🟡 POSIBLE (46/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ⚠️ Cloud híbrido (+3) | ⚠️ Sector industrial (+5);46.0;guipúzcoa
1,018;JRG DISEÑO Y CONSTRUCCION DE SISTEMAS AUTOMATICOS SL;grande;2899;Fabricación de otra maquinaria para usos específicos n.c.o.p.;B20756417;50000000;0;0.0;Sin match;2002;Irún;~29 (eInforma);www.jrgdiseno.com;Diseño y construcción de maquinaria a medida, automatización industrial y robótica.;~15-20 técnicos;Desarrollo de sistemas a medida que integran robótica, mecatrónica, sistemas de visión artificial, control industrial (SCADA) y conexión con bases de datos.;No identificado públicamente;No identificados públicamente;Ninguno;HAZITEK - Gobierno Vasco y Unión Europea (Proyecto FLEX24/7).;SÍ, utiliza sistemas de visión artificial para el control de calidad y la metrología de alta precisión en sus soluciones de automatización industrial.;Sin datos;Facturación superior a 2.5M€, capital social de más de 570.000€ y receptora de financiación pública para I+D.;Alto;Híbrido Hardware/Software con especialización en automatización, robótica y visión artificial.;TIBURÓN;VIABLE;🟢 VIABLE (67/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 29 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8) | ✅ I+D público (+5) | ⚠️ Sector industrial (+5);67.0;guipúzcoa
1,019;AIBE MECANICA DE PRECISION, SOCIEDAD LIMITADA.;grande;2841;Fabricación de máquinas herramienta para trabajar el metal;B20044947;50000000;0;0.0;Sin match;1975;Eibar;35 (einforma/Empresite);www.aibe.es;Diseño y fabricación de utillaje especial y mecanizado de precisión para diversos sectores.;~5-10 técnicos;Empresa de mecanizado de precisión y fabricación de utillajes. Su complejidad radica en la alta precisión (<0,005 mm) y el trabajo con materiales especiales para sectores como aeronáutica y máquina herramienta. No se detecta un componente de software propio o IA.;No identificado públicamente;No identificado públicamente;Ninguno;Hazitek/Hazinnova;NO. No se ha encontrado evidencia del uso de inteligencia artificial en sus productos o procesos de fabricación.;No identificado públicamente;Empresa consolidada con casi 50 años de historia y actividad exportadora. Participa en proyectos de innovación financiados por el Gobierno Vasco, lo que sugiere una buena salud financiera.;Alto;Híbrido Hardware/Mecánica;PYME;VIABLE;🟢 VIABLE (54/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 35 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ I+D público (+5);54.0;guipúzcoa
1,022;LANDETA BURDIN LANAK BERRIA SL.;grande;2511;Fabricación de estructuras metálicas y sus componentes;B75211136;50000000;0;0.0;Sin match;2018;Azpeitia;15 (eInforma 2025);www.landetaburdinlanak.eus;Fabricación de estructuras metálicas, calderería en general y montajes industriales.;~2-4 técnicos (Ingenieros/Delineantes);Ingeniería industrial y civil para el diseño y cálculo de estructuras metálicas.;No identificado públicamente;Accionariado privado no detallado.;Ninguno;SPRI (4.800€ en 2022);NO. Su actividad se centra en la ingeniería y manufactura tradicional de estructuras metálicas, sin indicios de aplicación de IA en sus procesos o productos.;ON-PREMISE;PYME consolidada en su sector con crecimiento en ventas reportado. La facturación indicada en el prompt (500M€) es inverosímil para su tamaño.;Alto;Ingeniería Mecánica/Industrial;PYME;POSIBLE;🟡 POSIBLE (43/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ⚠️ Sector industrial (+5);43.0;guipúzcoa
1,023;ESPECIALIDADES CHARCUTERAS SL;grande;4632;Comercio al por mayor de carne y productos cárnicos;B61220372;50000000;0;0.0;Sin match;1996;Zestoa;15 (Empresite);www.rodriguezbarbancho.com;Comercio al por mayor y tratamiento de jamones y productos cárnicos de cerdo.;Inexistente o 1 externo;Web corporativa/promocional. Nivel de complejidad técnica muy bajo, sin software propio ni tecnología avanzada.;No identificado públicamente;Hermanos Rodriguez Barbancho SL.;Ninguno;Sin datos;NO. Es una empresa del sector cárnico tradicional sin evidencia de aplicación de IA en sus procesos o productos.;ON-PREMISE;Facturación reportada entre 3 y 6 millones de euros. Empresa familiar consolidada en un sector tradicional.;Bajo;No tecnológico;DESCARTAR;DUDOSO;🟡 DUDOSO (28/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ❌ Sector bajo salario (-10);28.0;guipúzcoa
1,024;NIASA NEFF Y ASOCIADOS SA;grande;2815;Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión;A20088787;50000000;7;0.87;Fuzzy Match (NIASA NEFF Y ASOC);1984;Lasarte-Oria;20-100 (eInforma);www.niasa.es;Fabricación y venta de componentes para movimiento lineal, husillos y actuadores electromecánicos.;~10-15 técnicos;Empresa de perfil industrial-mecánico. Diseñan y fabrican hardware de precisión (actuadores, elevadores). Posiblemente con un equipo de ingeniería de producto y fabricación. No se detecta un componente de software complejo o IA en su producto.;No identificado públicamente;No se identifica públicamente la estructura accionarial completa, aunque se menciona a Juan Pascual Lamarca como presidente.;Ninguno;Ha recibido financiación del Gobierno Vasco (25.000€ en 2021). No se han encontrado datos específicos sobre ayudas de CDTI, Hazitek o SPRI.;NO. No hay evidencia en su web ni en noticias de que apliquen IA en sus productos o procesos.;Sin datos;Empresa consolidada en el sector industrial con un rango de facturación que, aunque no se detalla públicamente en los últimos años, les posiciona como una PYME robusta. La empresa presenta cuentas anuales regularmente.;Alto;Híbrido Hardware/Mecánico;PYME;VIABLE;🟢 VIABLE (58/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 60 empleados (+8) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ I+D público (+5);58.0;guipúzcoa
1,025;ESTALKIPACK SL;grande;2222;Fabricación de envases y embalajes de plástico;B20391462;50000000;0;0.0;Sin match;1991;Astigarraga;23 (eInforma);www.estalki.com;Fabricación y venta de productos para el embalaje y aislamiento.;~2-4 técnicos;Soluciones de embalaje a medida con enfoque en sostenibilidad, logística y diseño industrial.;Ainhoa Diaz Ochoa - Administradora Mancomunada / Responsable de Informática (eInforma / BOE);Sin datos;Ninguno;SPRI (Hazinnova, Ciberseguridad Empresarial, Renove Smart Industry);NO;Sin datos;Empresa consolidada con financiación pública para innovación. Facturación no confirmada.;Alto;Industrial / Materiales;PYME;POSIBLE;🟡 POSIBLE (42/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 23 empleados (+4) | ✅ CTO identificado (+8);42.0;guipúzcoa
1,026;BERKOMAT SL;grande;4690;Comercio al por mayor no especializado;B20485157;50000000;0;0.0;Sin match;1994;Oiartzun;8 (eInforma);www.berkomat.com;Venta y distribución de componentes de alta calidad para maquinaria industrial en España y Portugal.;~2-4 técnicos;Distribuidor de componentes electromecánicos de alta precisión (rodamientos, guías, electrohusillos) para industria, aeronáutica y medicina. Complejidad en hardware, no software.;Mikel Alcaraz - Director técnico (Web oficial);Idoia Heredia Guezala (Socio único);Ninguno;SPRI - Industria Digitala (21.499,00€ en 2024);NO. Sin evidencias de desarrollo o uso de IA en sus operaciones o productos.;ON-PREMISE/HÍBRIDA;PYME consolidada (fundada en 1994) con facturación estimada entre 6-30M€ y resultado positivo. El dato de 500M€ en ventas parece incorrecto.;Alto;Hardware (Ingeniería industrial/mecánica/eléctrica);PYME;POSIBLE;🟡 POSIBLE (46/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8) | ⚠️ Cloud híbrido (+3) | ⚠️ Sector industrial (+5);46.0;guipúzcoa
1,028;GRUPO WISCO SL;grande;8211;Servicios administrativos combinados;B20839932;50000000;0;0.0;Sin match;2004;Lezo;~130-150 (Estimación Grupo);www.grupowisco.com;Fundición de bronce y latones por colada continua y centrífuga, y mecanizado de piezas.;~5-10 técnicos;Empresa industrial tradicional con procesos de producción automatizados (CNC) y sistemas de control de calidad. Sin evidencia de desarrollo de software propio, IA o IoT a gran escala.;No identificado públicamente;ORZA GESTION Y TENENCIA DE PATRIMONIOS AIE (entidad de inversión de fondos de pensiones GEROA y ELKARKIDETZA) y GALAGURU SL.;Ninguno;Sin datos específicos de proyectos CDTI/Hazitek, pero como empresa industrial del País Vasco, es probable que reciba apoyo del Grupo SPRI.;NO. No hay evidencia pública del uso de inteligencia artificial en sus productos o procesos más allá de la analítica de datos estándar para producción.;ON-PREMISE/HÍBRIDA (Estimado por su perfil industrial y sin evidencia de una estrategia cloud pública);Facturación consolidada relevante (estimada >50M€), líder en su nicho a nivel europeo y propiedad de una entidad de inversión de fondos de pensiones.;Alto;Híbrido Hardware/Industrial;PYME;VIABLE;🟢 VIABLE (65/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 140 empleados (+12) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ I+D público (+5);65.0;guipúzcoa
1,029;DOIMAK SOCIEDAD ANONIMA;grande;2849;Fabricación de otras máquinas herramienta;A20043204;50000000;0;0.0;Sin match;1974;Elgoibar;~60-80 (Estimación);www.doimak.es;Diseño y fabricación de rectificadoras de alta precisión y soluciones personalizadas de rectificado.;~20-25 técnicos;Maquinaria CNC de alta precisión con software propio, automatización (robots) e IA para carga/descarga.;Fernando Azpiazu - Director Gerente (No identificado un CTO específico).;Sin datos (Probablemente privada/familiar);Ninguno;CDTI y programas europeos (BRITE, ESPRIT, PACE, Eurostars Eureka).;SÍ, para la carga y descarga automatizada de piezas con robots, implicando visión y automatización avanzada.;Sin datos;Empresa consolidada (fundada en 1974), líder europeo en su nicho y con fuerte inversión en I+D.;Alto;Híbrido Hardware (mecánica de precisión, automatización) y Software (CNC, sistemas embarcados, robótica).;TIBURÓN;VIABLE;🟢 VIABLE (66/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 70 empleados (+8) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8) | ✅ I+D público (+5);66.0;guipúzcoa
1,031;AMIL TORNILLERIA SL;grande;4674;Comercio al por mayor de ferretería, fontanería y calefacción;B20979761;50000000;0;0.0;Sin match;2008;Lasarte-Oria;5 (einforma/Empresite);www.amiltornilleria.com;Importación y distribución de tornillería estándar y especial bajo plano.;~0-1 técnicos;Distribución B2B tradicional. La web es un catálogo de productos estándar (DIN) y a medida, sin complejidad tecnológica aparente como software, IA o IoT.;No identificado públicamente;Sin datos;Ninguno;Sin datos;NO. No hay indicios de uso de IA en su web ni en las actividades descritas.;ON-PREMISE;Facturación entre 3 y 6 millones de euros. Sin embargo, la empresa apareció en las listas de morosos de la Hacienda Pública en 2018 y 2019 con deudas superiores al millón de euros.;Bajo;Logística y distribución;DESCARTAR;POSIBLE;🟡 POSIBLE (38/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8);38.0;guipúzcoa
1,032;GAUZONAK SL;grande;4636;Comercio al por mayor de azúcar, chocolate y confitería;B20066858;50000000;0;0.0;Sin match;1980;Urnieta;15 (eInforma);www.gauzonak.es;Distribuidor de repostería y conservas gourmet en País Vasco y Navarra.;0-1 técnicos;E-commerce para la venta de sus productos.;No identificado públicamente;Empresa familiar (Familia Uyarra).;Ninguno;Proyecto de comercio electrónico financiado por la Unión Europea – Next Generation EU.;NO;No identificado;Empresa familiar consolidada con más de 40 años de actividad y con un rango de facturación estimado entre 3 y 6 millones de euros.;Bajo;No es una empresa tecnológica.;DESCARTAR;POSIBLE;🟡 POSIBLE (38/100 pts) - ✅ Ventas >100M€ (+30) | ❌ Plantilla pequeña (+0) | ✅ CTO identificado (+8);38.0;guipúzcoa
